Time,OVS,BNV
1,18.0078125,17.91015625
2,19.51171875,20
3,20,19.51171875
4,19.755859375,20
5,19.51171875,20
6,20,19.51171875
7,19.51171875,20
8,20,20
9,19.51171875,19.51171875
10,19.51171875,20
11,38.383203125,38.651953125
12,39.135546875,39.2578125
13,40,39.51171875
14,39.00390625,39.51171875
15,40,40
16,39.755859375,40
17,39.013671875,39.0234375
18,40,40
19,38.8671875,40
20,41.1,39.0234375
21,57.568359375,55.5859375
22,59.48203125,61.7
23,57.6609375,56.943359375
24,58.1078125,61.4
25,60.553125,56.982421875
26,60.523828125,61.5
27,58.38125,57.001953125
28,60.39453125,61.6
29,57.81953125,57.05078125
30,57.978515625,61.4
31,78.5484375,76.066796875
32,76.933203125,78.0859375
33,80.9515625,76.611328125
34,80.13046875,81.789453125
35,78.5859375,78.858203125
36,77.33828125,80.92578125
37,79.991015625,77.63359375
38,79.42265625,78.825
39,79.105859375,77.992578125
40,78.18828125,81.7875
41,77.88046875,88.47109375
42,77.924609375,92.452734375
43,77.587890625,93.105078125
44,76.46484375,93.12421875
45,77.158203125,93.252734375
46,77.5,92.272265625
47,78.232421875,93.005859375
48,77.919921875,93.133984375
49,78.037109375,92.575
50,78.0859375,93.0328125
